Title,Authors,Year,Journal,Journal_type,Type_stimulation,DBS,Electrode_type,Concurrent_fMRI,Brain_area,Brain_Name,Brain_Atlas,Brain_Parc,Brain_ParcLabel,Brain_Parc_Numb,Cortical_Subcortical,Species,Species_cat,Number_animals,Sex,Frequency,Amplitude_lower,Amplitude_higher,Amplitude_unit,Cathode_anode,Pulse_width,Waveform,Timespan,Task_description,Task_category,Behavioural_output,Main_output,Effect,Behavioural_description,Summary,Notes
Prolactin release following electrical stimulation of the brain in ovarectomized and ovariectomized estrogen-treated rhesus monkeys,"Quadri et al.,",1977,Endocrinology,specialty,electrical,NO,Macroelectrode,NO,amygdala,Amy,16,Amy,16,3,subcortical,Macaca mulatta,rhesus,6,female,100 Hz,1,1,mA,unclear,1 ms,unclear,30 s,no task,no task & resting-state,hormones,hormonal,mixed,mixed results in prolactin response,NA,
Effect of brain stimulation on aldosterone secretion in the rhesus monkey (Macaca Mulatta),"Frankel et al.,",1976,Journal of Endocrinology,specialty,electrical,NO,Macroelectrode,NO,amygdala,Amy,16,Amy,16,3,subcortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,no,NO increase in plasma aldosterone levels,NA,
"Self-stimulation pathways in the monkey, Macaca mulatta","Routtenberg et al.,",1971,Experimental Neurology,specialty,electrical,NO,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,1,"male, female",60 Hz,2.5,2.5,mA,anode first,0.6 ms,biphasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,strong ICSS,value,
What and where information in the caudate tail guides saccades to visual objects,"Yamamoto et al.,",2012,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,400 Hz,20,60,μA,cathode first,0.4 ms,biphasic,300 ms,"fixation task, free-viewing",eye movement & visual,saccades,eyes,direct,saccades match stimulation of neurons of specific groups,value,
Discontinuous long-train stimulation in the anterior striatum in monkeys induces abnormal behavioral states,"Worbe et al.,",2011,Cerebral Cortex,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca fascicularis,non_rhesus,4,male,200 Hz,200,400,μA,unclear,0.3 ms,biphasic,700 ms,no task,no task & resting-state,movement,movement,direct,"abberant behavioural states: movements (clonic-tonic), hypo and hyperactivity",motor,
Discontinuous long-train stimulation in the anterior striatum in monkeys induces abnormal behavioral states,"Worbe et al.,",2011,Cerebral Cortex,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fascicularis,non_rhesus,4,male,200 Hz,200,400,μA,unclear,0.3 ms,biphasic,700 ms,no task,no task & resting-state,movement,movement,direct,"abberant behavioural states: movements (clonic-tonic), hypo and hyperactivity",motor,
Preparation for movement: neural representations of intended direction in three motor areas of the monkey,"Alexander & Crutcher,",1990,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,5,male,400 Hz,0,45,μA,cathode first,0.4 ms,biphasic,100-200 ms,no task,no task & resting-state,movement,movement,direct,"identification of motormap, not able to tragger movement everywhere",motor,
Microstimulation of the primate neostriatum. I. Physiological properties of striatal microexcitable zones,"Alexander & Delong,",1985,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,3,male,400 Hz,5,40,μA,cathode first,0.6 ms,biphasic,100 ms,no task,no task & resting-state,movement,movement,direct,"limb movements, maximal about a single joint",motor,
Neural information transferred from the putamen to the globus pallidus during learned movement in the monkey,"Kimura et al.,",1996,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,4,unclear,300 Hz,0,200,μA,cathode first,0.2 ms,biphasic,17-133 ms,no task,no task & resting-state,movement,movement,direct,"somatotopic map: neck, forearm, tongue lip",motor,
Effects of caudate microstimulation on spontaneous and purposive saccades,"Watanabe & Munoz,",2013,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,100 Hz,50,50,μA,anode first,500 μs,biphasic,470 ms,"free viewing, visual detection",visual perception & discrimination,saccades,eyes,direct,makes saccades to stimulated hemisphere,reward,
An electrophysiological and behavioural study of self-stimulation in the orbitofrontal cortex of the rhesus monkey,"Mora et al.,",1980,Brain Research Bulletin,specialty,electrical,NO,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,unclear,100 Hz,0.1,1,mA,cathodal,0.5 ms,monophasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,increases positive self-stimulation,reward,
Physiological properties of projection neurons in the monkey striatum to the globus pallidus,"Kimura et al.,",1990,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,2,unclear,300 Hz,35,35,μA,unclear,0.2 ms,unclear,133 ms,arm movement task,"motor, reaching & grasping",movement,movement,direct,twitches in orofacial areas,motor,
Instrumental control of cardioacceleration induced by central electrical stimulation,"Joseph & Engel,",1981,Science,broad,electrical,NO,Macroelectrode,NO,Caudate,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,unclear,unclear,50,1000,μA,unclear,unclear,unclear,unclear,heart rate modulation,no task & resting-state,"heart rate, blood pressure",hemodynamic,direct,stimulation modulates heart rate,cardiac,
Caudate Microstimulation Increases Value of Specific Choices,"Santacruz et al.,",2017,Current Biology,broad,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,3,male,200 Hz,10,50,μA,unclear,200 μs,biphasic,1000 ms,choice preference,"cognitive, memory & decision-making",hands,hands,indirect,increases value-based choice,value/reward,
Disturbance of approach-avoidance behaviors in non-human primates by stimulation of the limbic territories of basal ganglia and anterior insula,"Saga et al.,",2019,European Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,"Macaca mulatta, Macaca fascicularis",rhesus,2,"male, female",200 Hz,0.1,0.6,mA,unclear,0.3 ms,biphasic,700 ms,approach/avoid task,"conditioning, reward & motivation",hands,hands,indirect,"Striatal stimulation led to the largest diversity of effects, with a subregion even leading to enhanced active avoidance",value,
Disturbance of approach-avoidance behaviors in non-human primates by stimulation of the limbic territories of basal ganglia and anterior insula,"Saga et al.,",2019,European Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,"Macaca mulatta, Macaca fascicularis",rhesus,2,"male, female",200 Hz,0.1,0.6,mA,unclear,0.3 ms,biphasic,700 ms,approach/avoid task,"conditioning, reward & motivation",hands,hands,indirect,"Striatal stimulation led to the largest diversity of effects, with a subregion even leading to enhanced active avoidance",value,
Attenuation of pain reactivity by caudate nucleus stimulation in monkeys,"Lineberry & Vierck,",1975,Brain Research,specialty,electrical,NO,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca arctoides,non_rhesus,3,female,100 Hz,1,2,mA,anode first,0.5 ms,biphasic,100 ms,shock avoidance test,"conditioning, reward & motivation",movement,movement,indirect,decreased escape force from leg shock,pain,
Saccade suppression by electrical microstimulation in monkey caudate nucleus,"Watanabe & Munoz,",2010,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,50-333 Hz,50,50,μA,anode first,0.5 ms,biphasic,"400, 800 ms",saccade task,eye movement & visual,saccades,eyes,indirect,reaction times longer both for saccades and anti-saccades,decision,
Saccade reaction times are influenced by caudate microstimulation following and prior to visual stimulus appearance,"Watanabe & Munoz,",2011,Journal of Cognitive Neuroscience,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,100 Hz,50,50,μA,anode first,500 μs,biphasic,280 ms,visually guided saccade task,eye movement & visual,saccades,eyes,indirect,"stimulation affects reaction times both pro/anti saccades, depends on timing",decision,
Facilitation of saccadic eye movements by postsaccadic electrical stimulation in the primate caudate,"Nakamura & Hikosaka,",2006,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,female,100 Hz,10,50,μA,unclear,0.5 ms,biphasic,"400, 800 ms",visually guided saccade task,eye movement & visual,saccades,eyes,indirect,stimulation decreases reaction times,reward,
Influence of globus pallidus on arm movements in monkeys. II. Effects of stimulation,"Horak & Anderson,",1984,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fascicularis,non_rhesus,4,unclear,300 Hz,50,100,μA,cathode first,0.6 ms,biphasic,500 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,indirect,increases movement times,motor,
Temporally Coordinated Deep Brain Stimulation in the Dorsal and Ventral Striatum Synergistically Enhances Associative Learning,"Katnani et al.,",2016,Scientific Reports,broad,electrical,YES,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,unclear,200 Hz,1,1,mA,anode first,0.4 ms,biphasic,1000 ms,visual association,visual perception & discrimination,hands,hands,indirect,faster reaction times and accuracy with stimulation,value/reward,
"Separate, causal roles of the caudate in saccadic choice and execution in a perceptual decision task","Ding & Gold,",2012,Neuron,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,300 Hz,50,80,μA,cathode first,250 μs,biphasic,variable,visual motion discrimination,visual perception & discrimination,saccades,eyes,indirect,influences choice and saccade response time,perception,
The caudate nucleus contributes causally to decisions that balance reward and uncertain visual information,"Doi et al.,",2020,eLife,broad,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,300 Hz,50,50,μA,cathode first,0.25 ms,biphasic,depends on RT,visual motion discrimination,visual perception & discrimination,saccades,eyes,indirect,microstimulation biases choices,"value, decision",
Selective enhancement of associative learning by microstimulation of the anterior caudate,"Williams & Eskandar,",2006,Nature Neuroscience,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,"20, 200 Hz",200,200,μA,cathode first,0.4 ms,biphasic,1000 ms,visual motion task,visual perception & discrimination,hands,hands,indirect,improved learning in the task in post-stimulus stimulation,reward,
Striatal Microstimulation Induces Persistent and Repetitive Negative Decision-Making Predicted by Striatal Beta-Band Oscillation,"Amemori et al.,",2018,Neuron,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,female,200 Hz,70,100,μA,cathode first,200 μs,biphasic,1000 ms,visual motor task,visual perception & discrimination,hands,hands,indirect,induces irrational decision making,reward,
Effects of caudate nucleus stimulation on substantia nigra cell activity in monkey,"Hikosaka et al.,",1993,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,2,male,single pulses,0,200,μA,anodal,0.1-0.2 ms,monophasic,single pulses,"fixation task, visually guided saccade task",eye movement & visual,saccades,eyes,indirect,"caudate stimulation may facilitate, with disinhibition, the initiation of saccadic eye movements",motor,
Optogenetic manipulation of a value-coding pathway from the primate caudate tail facilitates saccadic gaze shift,"Amita et al.,",2020,Nature Communications,broad,optogenetic,NO,Optogenetic,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,continuous,32,955,mW/mm2,NA,NA,NA,20 ms,visual free viewing,eye movement & visual,saccades,eyes,indirect,stimulation decreases latency to 'good' (more rewarded) objects,value,
In vivo optogenetic control of striatal and thalamic neurons in non-human primates,"Galvan et al., ",2012,PLOS ONE,broad,optogenetic,NO,Optogenetic,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,"10, 30 Hz",8,270,mW/mm2,NA,0.1-20 ms,NA,1000-2000 ms,no task,no task & resting-state,neural,neural,indirect,no behaviour reported,NA,
Effect of successive electrical stimulation of different parts of the brain on delayed spatial choice in monkeys,"Mordrinov,",1981,Neuroscience and Behavioural Physiology,specialty,electrical,NO,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,2,male,60 Hz,80,110,μA,unclear,8 ms,unclear,6000 ms,memory task,"cognitive, memory & decision-making",hands,hands,indirect,stimulation combinations tested for a memory task where the monkey had to remember food in two positions,decision,
Cortical Control of Subthalamic Neuronal Activity through the Hyperdirect and Indirect Pathways in Monkeys,"Polyakova et al.,",2020,Journal of Neuroscience,specialty,electrical,NO,Macroelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,2,male,single pulses,0.1,1,mA,unclear,0.3 ms,unclear,single pulses,no task,no task & resting-state,neural,neural,indirect,"no behaviour, antidromic activation to STN",NA,
"The distribution of neurons in the substantia nigra pars reticulata with input from the motor, premotor and prefrontal areas of the cerebral cortex in monkeys","Kitano et al.,",1998,Brain Research,specialty,electrical,NO,Macroelectrode,NO,Cd,Cd,45,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,2,male,0.8-1 Hz,0.5,0.5,mA,unclear,0.3 ms,unclear,continuous,no task,no task & resting-state,neural,neural,indirect,"no behavioural effects, antidromic effects on SNc population tested",NA,
"The distribution of neurons in the substantia nigra pars reticulata with input from the motor, premotor and prefrontal areas of the cerebral cortex in monkeys","Kitano et al.,",1998,Brain Research,specialty,electrical,NO,Macroelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,2,male,0.8-1 Hz,0.5,0.5,mA,unclear,0.3 ms,unclear,continuous,no task,no task & resting-state,neural,neural,indirect,"no behavioural effects, antidromic effects on SNc population tested",NA,
Electrical stimulation of cortical-caudate pairs during delayed successive visual discrimination in monkeys,"Cohen,",1972,Acta Neurobiologicae Experimentalis,specialty,electrical,NO,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,6,male,50 Hz,1,3.6,mA,unclear,1 ms,unclear,2000 ms,visual discrimination task,visual perception & discrimination,hands,hands,indirect,"impaired performance during visual discrimination, during delay",decision,
Entrained neuronal activity to periodic visual stimuli in the primate striatum compared with the cerebellum,"Kameda et al.,",2019,eLife,broad,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca fuscata,non_rhesus,3,"male, female",100 Hz,50,50,μA,unclear,0.2 ms,biphasic,200 ms,oddball detection task,"cognitive, memory & decision-making",saccades,eyes,mixed,striatal neurons might represent periodic response preparation,motor,
Penile erection evoked from forebrain structures in Macaca mulatta,"Robinson & Mishkin,",1968,Archives of Neurology,specialty,electrical,NO,Macroelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,15,male,50 Hz,0,1,mA,cathodal,1.0 ms,monophasic,10000-30000 ms,no task,no task & resting-state,sexual,movement,mixed,Moderate chance of eliciting erections,sexual,
Penile erection evoked from forebrain structures in Macaca mulatta,"Robinson & Mishkin,",1968,Archives of Neurology,specialty,electrical,NO,Macroelectrode,NO,Internal capsule,ic,50,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,15,male,50 Hz,0,1,mA,cathodal,1.0 ms,monophasic,10000-30000 ms,no task,no task & resting-state,sexual,movement,mixed,Small chance of eliciting erections,sexual,
Penile erection evoked from forebrain structures in Macaca mulatta,"Robinson & Mishkin,",1968,Archives of Neurology,specialty,electrical,NO,Macroelectrode,NO,Caudate,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,15,male,50 Hz,0,1,mA,cathodal,1.0 ms,monophasic,10000-30000 ms,no task,no task & resting-state,sexual,movement,mixed,Very small chance of eliciting erections,sexual,
Functional territories in primate substantia nigra pars reticulata separately signaling stable and flexible values,"Yasuda & Hikosaka,",2015,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,CD,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,3,male,unclear,10,180,μA,unclear,0.2-0.4 ms,biphasic,unclear,value discrimination learning task,"cognitive, memory & decision-making",saccades,eyes,no,"no behavioural effects, used for establishing connections",value,
Modulation of hypothalamic ICSS by concurrent limbic stimulation,"Jackson & Gardner,",1974,Physiology & Behavior,specialty,electrical,NO,Macroelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,male,60 Hz,1,4,mA,anode first,0.3 ms,biphasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,no,No effect on concurrent ICSS of hypothalamus,motivation,
Modulation of hypothalamic ICSS by concurrent limbic stimulation,"Jackson & Gardner,",1974,Physiology & Behavior,specialty,electrical,NO,Macroelectrode,NO,InternalCapsule,ic,50,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,male,60 Hz,1,4,mA,anode first,0.3 ms,biphasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,no,No effect on concurrent ICSS of hypothalamus,motivation,
Predominant Striatal Input to the Lateral Habenula in Macaques Comes from Striosomes,"Hong et al.,",2019,Current Biology,broad,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,3,male,300 Hz,67,67,μA,cathode first,0.4 ms,biphasic,10 ms,visually guided saccade task,eye movement & visual,saccades,eyes,no,no reported behavioural effects,value,
Microstimulation of the primate neostriatum. II. Somatotopic organization of striatal microexcitable zones and their relation to neuronal response properties,"Alexander & Delong,",1985,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,CN,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,male,400 Hz,5,40,μA,cathode first,0.6 ms,biphasic,100 ms,no task,no task & resting-state,movement,movement,no,no limb movements induced for CN stimulation,motor,
Responses of pallidal neurons to striatal stimulation in intact waking monkeys,"Tremblay & Filion,",1989,Brain Research,specialty,electrical,YES,Macroelectrode,NO,head of Cd,Cd,45,Dstrat,44,4,subcortical,Macaca fascicularis,non_rhesus,3,unclear,single pulses,500,500,μA,cathodal,0.1 ms,monophasic,single pulses,no task,no task & resting-state,movement,movement,no,"Used to detect response in globus pallidus, no behaviour",NA,
Responses of pallidal neurons to striatal stimulation in intact waking monkeys,"Tremblay & Filion,",1989,Brain Research,specialty,electrical,YES,Macroelectrode,NO,Putamen,Pu,48,Dstrat,44,4,subcortical,Macaca fascicularis,non_rhesus,3,unclear,single pulses,500,500,μA,cathodal,0.1 ms,monophasic,single pulses,no task,no task & resting-state,movement,movement,no,"Used to detect response in globus pallidus, no behaviour",NA,
Central neural correlates of learned heart rate control during exercise: central command demystified,"Chefer et al.,",1997,Journal of Applied Physiology,specialty,electrical,NO,Macroelectrode,NO,Caudate,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,male,45 Hz,0.2,0.4,mA,unclear,2.5 ms,unclear,500 ms,no task,no task & resting-state,heart rate,hemodynamic,no,no increase in heart rate,cardiac,
Pituitary-adrenal response to stimulation of the limbic system and lateral hypothalamus in the rhesus monkey (Macacca mulatta),"Frankel et al.,",1978,Acta Endicronologica,specialty,electrical,NO,Macroelectrode,NO,caudate nucleus,Cd,45,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,no,NO increase in plasma cortisol,NA,
Pituitary-adrenal response to stimulation of the limbic system and lateral hypothalamus in the rhesus monkey (Macacca mulatta),"Frankel et al.,",1978,Acta Endicronologica,specialty,electrical,NO,Macroelectrode,NO,putamen,Pu,48,Dstrat,44,4,subcortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,no,NO increase in plasma cortisol,NA,
An electrophysiological and behavioural study of self-stimulation in the orbitofrontal cortex of the rhesus monkey,"Mora et al.,",1980,Brain Research Bulletin,specialty,electrical,NO,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,2,unclear,100 Hz,0.1,1,mA,cathodal,0.5 ms,monophasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,increases positive self-stimulation,reward,
Neurophysiological analysis of brain-stimulation reward in the monkey,"Rolls et al.,",1980,Brain Research,specialty,electrical,NO,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,2,unclear,100 Hz,0.05,0.8,mA,cathodal,0.5 ms,monophasic,300 ms,ICSS,"conditioning, reward & motivation",hands,hands,direct,self-stimulation shown in this region,reward,
Operant conditioning of neural activity in freely behaving monkeys with intracranial reinforcement,"Eaton et al.,",2017,Journal of Neurophysiology,specialty,electrical,NO,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca nemestrina,non_rhesus,3,male,50 Hz,1,1,mA,unclear,1 ms,biphasic,500 ms,ICSS,"conditioning, reward & motivation",hands,hands,indirect,NAc stimulation sustained performance of a manual target-tracking task,motivation,
Real-time dopamine measurement in awake monkeys,"Schluter et al.,",2014,PLoS ONE,broad,electrical,NO,Microelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,2,male,120 Hz,50,400,μA,cathode first,500 μs,biphasic,100 ms,no task,no task & resting-state,hormones/NTs,hormonal,indirect,no behavioural effects of stimulation,NA,
Consistent linear and non-linear responses to invasive electrical brain stimulation across individuals and primate species with implanted electrodes,"Basu et al.,",2019,Brain Stimulation,specialty,electrical,NO,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,3,male,10-400 Hz,0,8,mA,unclear,90 μs,biphasic,400 ms,no task,no task & resting-state,neural,neural,indirect,no behavioural effects of stimulation,NA,
Temporally Coordinated Deep Brain Stimulation in the Dorsal and Ventral Striatum Synergistically Enhances Associative Learning,"Katnani et al.,",2016,Scientific Reports,broad,electrical,YES,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,2,unclear,200 Hz,1,1,mA,anode first,0.4 ms,biphasic,1000 ms,visual association,visual perception & discrimination,hands,hands,indirect,faster reaction times and accuracy with stimulation,value/reward,
Stimulation of the nucleus accumbens as behavioral reward in awake behaving monkeys,"Bichot et al.,",2011,Journal of Neuroscience Methods,specialty,electrical,NO,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,2,unclear,200 Hz,1,1.5,mA,cathode first,0.4 ms,biphasic,200 ms,visual search task,visual perception & discrimination,saccades,eyes,indirect,stimulation worked as reinforcement,reward,
Deep brain stimulation of the bilateral nucleus accumbens in normal rhesus monkey,"Li et al.,",2013,NeuroReport,specialty,electrical,YES,Macroelectrode,NO,NAc,Acb,52,Vstrat,51,5,subcortical,Macaca mulatta,rhesus,4,male,"60, 160 Hz",3.5,3.5,V,unclear,90 μs,unclear,7 days,no task,no task & resting-state,locomotion,movement,no,no significant effects on cage locomotion,motor,
Activity of neurons in cerebellar-receiving and pallidal-receiving areas of the thalamus of the behaving monkey,"Anderson & Turner,",1991,Journal of Neurophysiology,specialty,electrical,NO,Macroelectrode,NO,Gpi,IGP,57,Pd,54,6,subcortical,Macaca fascicularis,non_rhesus,2,male,300 Hz,17,35,μA,unclear,unclear,biphasic,33 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,direct,arm movements in subregion. No somatotopic organization,motor,
Effects of high-frequency stimulation in the internal globus pallidus on the activity of thalamic neurons in the awake monkey,"Anderson et al.,",2003,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Gpi,IGP,57,Pd,54,6,subcortical,Macaca fascicularis,non_rhesus,2,male,120 Hz,50,300,μA,unclear,0.2-0.4 ms,biphasic,83-833 ms,reach task on a digitizing pad,"motor, reaching & grasping",hands,hands,direct,"stimulation at a similar intensity produced contralateral muscle contraction, a probable sign of current spread to the internal capsule",motor,
Movement-related discharge in the macaque globus pallidus during high-frequency stimulation of the subthalamic nucleus,"Zimnik et al.,",2015,Journal of Neuroscience,specialty,electrical,YES,Macroelectrode,NO,GP,GP,55,Pd,54,6,subcortical,Macaca mulatta,rhesus,2,male,150 Hz,200,200,μA,unclear,1.2 ms,biphasic,1s,no task,no task & resting-state,movement,movement,direct,evoking movement or palpable muscle contraction,motor,
High-resolution local field potentials measured with deep brain stimulation arrays,"Zhang et al.,",2018,Journal of Neural Engineering,specialty,electrical,YES,Macroelectrode,NO,Gpi / GPe,GP,55,Pd,54,6,subcortical,Macaca mulatta,rhesus,2,female,300 Hz,50,200,μA,unclear,unclear,biphasic,500 ms,no task,no task & resting-state,movement,movement,direct,"movement of the face, body and upper extremities",motor,
Behavioral inhibition induced by pallidal stimulation in monkeys,"Delgado et al.,",1975,Experimental Neurology,specialty,electrical,NO,Macroelectrode,NO,GP,GP,55,Pd,54,6,subcortical,Macaca mulatta,rhesus,9,"male, female",100 Hz,0.1,1.5,mA,cathodal,0.5 ms,monophasic,5000 ms,no task,no task & resting-state,movement,movement,direct,"contralateral head turning, becomes more submissive",motivation,
Mobility controlled by feedback cerebral stimulation in monkeys,"Delgado et al.,",1976,Physiology & Behaviour,specialty,electrical,NO,Macroelectrode,NO,GP,GP,55,Pd,54,6,subcortical,Macaca mulatta,rhesus,6,"male, female",100 Hz,0,1.5,mA,cathodal,0.5 ms,monophasic,5000 ms,spontaneous movement,no task & resting-state,movement,movement,direct,mobility decreased,motor,
Influence of globus pallidus on arm movements in monkeys. II. Effects of stimulation,"Horak & Anderson,",1984,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Gpe,EGP,56,Pd,54,6,subcortical,Macaca fascicularis,non_rhesus,4,unclear,300 Hz,50,100,μA,cathode first,0.6 ms,biphasic,500 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,indirect,increases movement times,motor,
Influence of globus pallidus on arm movements in monkeys. II. Effects of stimulation,"Horak & Anderson,",1984,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Gpi,IGP,57,Pd,54,6,subcortical,Macaca fascicularis,non_rhesus,4,unclear,300 Hz,50,100,μA,cathode first,0.6 ms,biphasic,500 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,indirect,reduces movement times,motor,
Subthalamic nucleus and globus pallidus interna influence firing of tonically active neurons in the primate striatum through different mechanisms,"Nakajima et al.,",2017,European Journal of Neuroscience,specialty,electrical,YES,Macroelectrode,NO,Gpi,IGP,57,Pd,54,6,subcortical,Macaca fuscata,non_rhesus,3,female,30-130 Hz,0.1,0.4,mA,anode first,0.12 ms,biphasic,10-30 s,no task,no task & resting-state,neural,neural,indirect,Both STN stimulation and GPi stimulation reduced the TAN spike rate,motor,
In vivo optogenetic control of striatal and thalamic neurons in non-human primates,"Galvan et al., ",2012,PLOS ONE,broad,optogenetic,NO,Optogenetic,NO,GPe,EGP,56,Pd,54,6,subcortical,Macaca mulatta,rhesus,2,male,"10, 30 Hz",8,270,mW/mm2,NA,0.1-20 ms,NA,1000-2000 ms,no task,no task & resting-state,neural,neural,indirect,no behaviour reported,NA,
