Title,Authors,Year,Journal,Journal_type,Type_stimulation,DBS,Electrode_type,Concurrent_fMRI,Brain_area,Brain_Name,Brain_Atlas,Brain_Parc,Brain_ParcLabel,Brain_Parc_Numb,Cortical_Subcortical,Species,Species_cat,Number_animals,Sex,Frequency,Amplitude_lower,Amplitude_higher,Amplitude_unit,Cathode_anode,Pulse_width,Waveform,Timespan,Task_description,Task_category,Behavioural_output,Main_output,Effect,Behavioural_description,Summary,Notes
Influence of electrical stimulation of posterior orbital cortex upon plasma cortisol levels in unanesthetized sub-human primate,"Hall & Marr,",1975,Brain Research,specialty,electrical,NO,Macroelectrode,NO,posterior orbital cortex (13),area 13,30,OFC,16,3,cortical,Macaca mulatta,rhesus,7,male,40 Hz,0.6,2.5,mA,unclear,unclear,unclear,5 ms,no task,no task & resting-state,hormones,hormonal,direct,electrical stimulation of the posterior orbital cortex of rhesus monkeys caused significant increases in arterial plasma cortisol.,NA,
Effect of brain stimulation on aldosterone secretion in the rhesus monkey (Macaca Mulatta),"Frankel et al.,",1976,Journal of Endocrinology,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,direct,increase in plasma aldosterone levels,NA,
Pituitary-adrenal response to stimulation of the limbic system and lateral hypothalamus in the rhesus monkey (Macacca mulatta),"Frankel et al.,",1978,Acta Endicronologica,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,4,"male, female",50 Hz,200,600,μA,unclear,unclear,unclear,30 s,no task,no task & resting-state,hormones,hormonal,direct,increase in plasma cortisol,NA,
Closed-loop microstimulations of the orbitofrontal cortex during real-life gaze interaction enhance dynamic social attention,"Fan et al.,",2024,Neuron,specialty,electrical,NO,Microelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,2,male,100 Hz,75,75,μA,cathode first,0.4 ms,biphasic,200 ms,social gaze (another monkey),"cognitive, memory & decision-making",saccades,eyes,indirect,Microstimulations of the orbitofrontal cortex enhanced momentary dynamic social attention,social,
Closed-Loop Theta Stimulation in the Orbitofrontal Cortex Prevents Reward-Based Learning,"Knudsen & Wallis,",2020,Neuron,specialty,electrical,NO,Microelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,2,male,"6, 16 Hz",50,50,μA,cathode first,unclear,biphasic,"833, 190 ms",value discrimination learning task,"cognitive, memory & decision-making",saccades,eyes,indirect,disruption of OFC computations for reward-guided behaviour,value,
Orbitofrontal cortex contributes to the comparison of values underlying economic choices,"Ballesta et al.,",2022,Nature Communications,broad,electrical,NO,Microelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,2,male,125-250 Hz,5,15,μA,unclear,0.4 ms,biphasic,300-600 ms,visual reward choice task,"cognitive, memory & decision-making",saccades,eyes,indirect,disrupts value comparison,value,
Disruption of temperature discrimination during limbic forebrain stimulation in monkeys,"Chin et al., ",1976,Neuropsychologia,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,5,"male, female",20-100 Hz,0.1,1.5,mA,unclear,0.5-1 ms,biphasic,continuous,"visual discrimination, temperature discrimination",somatosensory & tactile,hands,hands,indirect,temperature discrimination disrupted,pain,
Values encoded in orbitofrontal cortex are causally related to economic choices,"Ballesta et al.,",2020,Nature,broad,electrical,NO,Microelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,3,male,100-333 Hz,25,150,μA,unclear,500 μs,biphasic,300-600 ms,visual detection (2AFC),visual perception & discrimination,saccades,eyes,indirect,"low stimulation biases choices, high stimulation does the opposite",reward,
Complex attributes of lateral hypothalamic neurons in the regulation of feeding of alert rhesus monkeys,"Karadi et al.,",1990,Brain Research Bulletin,specialty,electrical,NO,Microelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,5,"male, female",single pulses,0.1,0.8,mA,unclear,0.05 ms,unclear,single pulses,no task,no task & resting-state,neural,neural,indirect,"changes in the electrophysiological response in the lateral hypothalamus, no behaviour",NA,
"The distribution of neurons in the substantia nigra pars reticulata with input from the motor, premotor and prefrontal areas of the cerebral cortex in monkeys","Kitano et al.,",1998,Brain Research,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca fuscata,non_rhesus,2,male,0.8-1 Hz,0.5,0.5,mA,unclear,0.3 ms,unclear,continuous,no task,no task & resting-state,neural,neural,indirect,"no behavioural effects, antidromic effects on SNc population tested",NA,
